Area code,Area,Year,Series,Tourism arrivals series type,Value,Source
48,Bahrain,2010,Tourist/visitor arrivals (thousands),VF,11952,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2019,Tourist/visitor arrivals (thousands),VF,11061,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2020,Tourist/visitor arrivals (thousands),VF,1909,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2021,Tourist/visitor arrivals (thousands),VF,3612,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,1995,Tourism expenditure (millions of US dollars),,593,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2005,Tourism expenditure (millions of US dollars),,1603,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2010,Tourism expenditure (millions of US dollars),,2163,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2019,Tourism expenditure (millions of US dollars),,3860,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2020,Tourism expenditure (millions of US dollars),,724,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
48,Bahrain,2021,Tourism expenditure (millions of US dollars),,1886,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,1995,Tourist/visitor arrivals (thousands),TF,156,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2005,Tourist/visitor arrivals (thousands),TF,208,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2010,Tourist/visitor arrivals (thousands),TF,139,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2019,Tourist/visitor arrivals (thousands),TF,323,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2020,Tourist/visitor arrivals (thousands),TF,182,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2021,Tourist/visitor arrivals (thousands),TF,135,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2005,Tourism expenditure (millions of US dollars),,82,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2010,Tourism expenditure (millions of US dollars),,103,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2019,Tourism expenditure (millions of US dollars),,391,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2020,Tourism expenditure (millions of US dollars),,218,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
50,Bangladesh,2021,Tourism expenditure (millions of US dollars),,273,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
52,Barbados,1995,Tourist/visitor arrivals (thousands),TF,442,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
52,Barbados,2005,Tourist/visitor arrivals (thousands),TF,548,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
52,Barbados,2010,Tourist/visitor arrivals (thousands),TF,532,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
